Snow ratio,Log likelihood,Error std,O18 lapse rate
0.32,-833673.01,0.49,-0.0
0.63,-834103.25,0.49,0.0
0.47,-834330.35,0.49,-0.0
0.41,-834465.69,0.49,-0.0
0.66,-834760.82,0.49,-0.0
0.32,-835314.93,0.49,-0.0
0.82,-835594.11,0.49,0.0
0.54,-836212.43,0.49,0.0
0.54,-836569.18,0.49,-0.0
0.3,-836638.01,0.49,-0.0
0.86,-837339.34,0.49,0.0
0.33,-838121.68,0.49,-0.0
0.54,-839098.85,0.49,0.0
0.36,-839320.5,0.49,-0.0
0.56,-839849.83,0.49,0.0
0.35,-840446.84,0.49,-0.0
0.45,-840793.31,0.49,-0.0
0.3,-841849.72,0.49,-0.0
0.84,-841959.46,0.49,0.0
0.5,-842087.83,0.49,-0.0
0.5,-842293.64,0.49,0.0
0.37,-842786.75,0.49,-0.0
0.44,-842824.7,0.49,-0.0
0.33,-843750.67,0.49,-0.0
0.6,-843872.36,0.49,-0.0
0.36,-844485.73,0.49,-0.0
0.45,-845606.41,0.49,-0.0
0.32,-845812.24,0.49,-0.0
0.45,-846074.23,0.49,-0.0
0.6,-846241.18,0.49,0.0
0.51,-846242.95,0.49,0.0
0.86,-846271.15,0.49,0.0
0.31,-846847.17,0.49,-0.0
0.76,-847095.11,0.49,0.0
0.83,-847405.99,0.49,0.0
0.85,-847797.89,0.49,0.0
0.42,-848508.58,0.49,-0.0
0.86,-848728.68,0.49,0.0
0.29,-849709.08,0.49,-0.0
0.37,-850266.97,0.49,-0.0
0.83,-850516.35,0.49,0.0
0.86,-851145.78,0.49,0.0
0.45,-853084.44,0.49,-0.0
0.3,-853138.91,0.49,-0.0
0.3,-853407.86,0.49,-0.0
0.35,-853444.37,0.49,-0.0
0.54,-853908.37,0.49,-0.0
0.48,-854303.62,0.49,0.0
0.52,-854447.37,0.49,-0.0
0.47,-855173.51,0.49,-0.0
0.8,-855227.86,0.49,0.0
0.5,-855421.14,0.49,-0.0
0.73,-856218.28,0.49,-0.0
0.73,-856385.1,0.49,-0.0
0.78,-857483.85,0.49,-0.0
0.57,-858178.29,0.49,0.0
0.39,-858198.66,0.49,-0.0
0.5,-858936.17,0.49,0.0
0.62,-860118.38,0.49,0.0
0.85,-860471.1,0.49,0.0
0.81,-861941.6,0.49,0.0
0.86,-862167.85,0.49,0.0
0.85,-862816.71,0.49,0.0
0.38,-863321.88,0.49,-0.0
0.87,-863714.98,0.49,0.0
0.29,-864378.49,0.49,-0.0
0.37,-864640.81,0.49,-0.0
0.48,-865384.37,0.49,-0.0
0.29,-865448.55,0.49,-0.0
0.42,-865452.1,0.49,-0.0
0.87,-866618.39,0.49,0.0
0.33,-866832.13,0.49,-0.0
0.51,-866845.46,0.49,-0.0
0.29,-867008.36,0.49,-0.0
0.75,-867036.16,0.49,0.0
0.34,-867463.67,0.49,-0.0
0.53,-868414.2,0.49,0.0
0.83,-868561.83,0.49,0.0
0.75,-868603.14,0.49,0.0
0.46,-869139.52,0.49,-0.0
0.87,-869187.15,0.49,0.0
0.58,-869680.77,0.49,0.0
0.86,-869768.22,0.49,0.0
0.75,-869995.09,0.49,-0.0
0.36,-870262.14,0.49,-0.0
0.79,-870808.94,0.49,-0.0
0.73,-871048.52,0.49,0.0
0.66,-871473.84,0.49,-0.0
0.8,-873824.31,0.49,-0.0
0.52,-874020.48,0.49,-0.0
0.79,-874055.1,0.49,0.0
0.33,-874116.03,0.49,-0.01
0.29,-874573.37,0.49,-0.0
0.72,-874947.45,0.49,0.0
0.81,-875763.02,0.49,-0.0
0.33,-875982.5,0.49,-0.01
0.39,-876414.75,0.49,-0.0
0.28,-876796.82,0.49,-0.0
0.44,-878164.14,0.49,-0.0
0.28,-878901.3,0.49,-0.0
0.63,-878911.41,0.49,-0.0
0.86,-879492.94,0.49,0.0
0.44,-879681.4,0.49,-0.0
0.53,-880004.22,0.49,-0.0
0.28,-880087.65,0.49,-0.0
0.87,-880519.78,0.49,0.0
0.88,-880741.44,0.49,0.0
0.71,-880807.42,0.49,0.0
0.81,-881501.31,0.49,0.0
0.35,-881514.11,0.49,-0.0
0.85,-881863.79,0.49,0.0
0.73,-882612.9,0.49,0.0
0.48,-882717.34,0.49,-0.0
0.41,-883772.76,0.49,-0.0
0.71,-884175.17,0.49,-0.0
0.82,-884484.19,0.49,0.0
0.49,-884820.86,0.49,0.0
0.87,-884989.78,0.49,0.0
0.74,-885110.55,0.49,-0.0
0.74,-885366.91,0.49,0.0
0.85,-886629.57,0.49,0.0
0.62,-887325.25,0.49,-0.0
0.85,-887439.28,0.49,0.0
0.81,-887469.97,0.49,0.0
0.51,-887512.58,0.49,-0.0
0.42,-888093.22,0.49,-0.0
0.55,-888385.03,0.49,-0.0
0.48,-888431.19,0.49,0.0
0.72,-888577.71,0.49,0.0
0.44,-888712.68,0.49,-0.0
0.87,-888874.33,0.49,0.0
0.27,-889480.6,0.49,-0.0
0.41,-889485.48,0.49,-0.0
0.85,-889759.44,0.49,0.0
0.28,-890556.23,0.49,-0.0
0.43,-890581.18,0.49,-0.0
0.48,-890782.69,0.49,-0.0
0.81,-891372.2,0.49,0.0
0.71,-891531.02,0.49,-0.0
0.68,-892259.22,0.49,0.0
0.43,-892489.61,0.49,-0.0
0.87,-892690.26,0.49,0.0
0.86,-893525.5,0.49,0.0
