Snow ratio,Log likelihood,Error std,H2 lapse rate
0.42,-1356270.83,3.04,-0.04
0.8,-1356560.82,3.04,0.02
0.67,-1357109.58,3.04,0.02
0.57,-1357468.81,3.04,0.01
0.25,-1357732.21,3.04,-0.03
0.78,-1357825.22,3.04,0.02
0.28,-1358069.04,3.04,-0.03
0.81,-1359131.29,3.04,0.02
0.25,-1359166.26,3.04,-0.04
0.35,-1359809.15,3.04,-0.01
0.8,-1361247.54,3.04,0.02
0.25,-1362524.23,3.04,-0.04
0.42,-1362640.93,3.04,-0.0
0.77,-1362900.03,3.04,0.02
0.58,-1364893.1,3.04,-0.02
0.47,-1365353.13,3.04,0.0
0.8,-1366641.01,3.04,0.01
0.45,-1366814.9,3.04,-0.0
0.35,-1367123.9,3.04,-0.01
0.67,-1367712.45,3.04,0.02
0.78,-1368605.35,3.04,0.02
0.81,-1368954.91,3.04,0.02
0.28,-1370255.66,3.04,-0.03
0.25,-1370919.39,3.04,-0.04
0.81,-1370936.45,3.04,0.01
0.79,-1371644.43,3.04,0.02
0.29,-1371664.64,3.04,-0.02
0.27,-1372104.19,3.04,-0.03
0.3,-1372370.96,3.04,-0.04
0.29,-1372736.16,3.04,-0.04
0.81,-1373723.38,3.04,0.02
0.43,-1376581.45,3.04,-0.04
0.45,-1377019.89,3.04,-0.0
0.45,-1378157.84,3.04,-0.03
0.43,-1379553.08,3.04,-0.0
0.8,-1379707.72,3.04,0.0
0.74,-1380059.38,3.04,-0.01
0.24,-1380223.12,3.04,-0.03
0.65,-1380865.08,3.04,-0.02
0.7,-1381586.32,3.04,-0.01
0.57,-1382900.07,3.04,0.01
0.35,-1383599.94,3.04,-0.01
0.69,-1383914.19,3.04,-0.01
0.66,-1384197.47,3.04,0.02
0.25,-1385074.16,3.04,-0.03
0.25,-1386583.95,3.04,-0.04
0.24,-1386686.57,3.04,-0.04
0.59,-1387295.94,3.04,-0.02
0.29,-1387404.11,3.04,-0.04
0.24,-1389775.08,3.04,-0.03
0.35,-1391041.94,3.04,-0.01
0.57,-1391909.05,3.04,-0.03
0.75,-1393012.41,3.04,-0.0
0.78,-1394479.81,3.04,0.02
0.27,-1395982.37,3.04,-0.03
0.23,-1396543.3,3.04,-0.04
0.25,-1396740.92,3.04,-0.04
0.82,-1397247.81,3.04,0.02
0.43,-1397969.94,3.04,-0.0
0.41,-1398634.5,3.04,-0.01
0.63,-1399020.09,3.04,0.02
0.24,-1399839.38,3.04,-0.03
0.54,-1399943.32,3.04,0.01
0.83,-1399970.89,3.04,0.01
0.23,-1400011.14,3.04,-0.04
0.32,-1400138.78,3.04,-0.02
0.62,-1400581.38,3.04,-0.02
0.56,-1400828.75,3.04,0.01
0.26,-1401510.08,3.04,-0.04
0.7,-1401551.3,3.04,0.02
0.8,-1401609.54,3.04,0.0
0.73,-1402144.43,3.04,-0.01
0.7,-1402375.58,3.04,0.02
0.3,-1402932.13,3.04,-0.02
0.57,-1403828.56,3.04,-0.03
0.65,-1406334.93,3.04,-0.02
0.48,-1406629.03,3.04,-0.03
0.83,-1406797.52,3.04,0.01
0.82,-1406863.59,3.04,0.02
0.64,-1408142.63,3.04,0.02
0.73,-1409246.7,3.04,-0.01
0.4,-1409416.29,3.04,-0.04
0.34,-1409880.41,3.04,-0.01
0.8,-1410519.2,3.04,0.0
0.54,-1411574.61,3.04,-0.03
0.73,-1412196.71,3.04,-0.01
